,Current Angular Velocity,Goal Side,Left Observer Detection,Center Observer Detection,Right Observer Detection,Output
315,Right,Right,Close,Not Detected,Not Detected,Right
316,Right,Front,Far,Not Detected,Not Detected,Right
317,Right,Right,Far,Not Detected,Not Detected,Right
318,Straight,Front,Not Detected,Not Detected,Not Detected,Straight
319,Straight,Front,Close,Close,Close,Random
320,Straight,Front,Close,Far,Close,Random
321,Straight,Front,Far,Close,Far,Random
322,Straight,Front,Far,Far,Far,Random
323,Straight,Front,Not Detected,Close,Not Detected,Random
324,Straight,Front,Not Detected,Far,Not Detected,Random
325,Straight,Front,Close,Not Detected,Close,Random
326,Straight,Front,Far,Not Detected,Far,Random
327,Straight,Left,Close,Close,Close,Left
328,Straight,Right,Close,Close,Close,Right
329,Straight,Left,Close,Far,Close,Left
330,Straight,Right,Close,Far,Close,Right
331,Straight,Left,Far,Close,Far,Left
332,Straight,Right,Far,Close,Far,Right
333,Straight,Left,Far,Far,Far,Left
334,Straight,Right,Far,Far,Far,Right
335,Straight,Left,Not Detected,Close,Not Detected,Left
336,Straight,Right,Not Detected,Close,Not Detected,Right
337,Straight,Left,Not Detected,Far,Not Detected,Left
338,Straight,Right,Not Detected,Far,Not Detected,Right
339,Straight,Left,Close,Not Detected,Close,Left
340,Straight,Right,Close,Not Detected,Close,Right
341,Straight,Left,Far,Not Detected,Far,Left
342,Straight,Right,Far,Not Detected,Far,Right
343,Left,Left,Not Detected,Not Detected,Not Detected,Straight
344,Right,Left,Not Detected,Not Detected,Not Detected,Left
345,Left,Right,Not Detected,Not Detected,Not Detected,Right
346,Right,Right,Not Detected,Not Detected,Not Detected,Straight
347,Straight,Left,Not Detected,Not Detected,Not Detected,Left
348,Straight,Right,Not Detected,Not Detected,Not Detected,Right
349,Left,Front,Not Detected,Not Detected,Not Detected,Right
350,Right,Front,Not Detected,Not Detected,Not Detected,Left
351,Straight,Left,Far,Close,Close,Left
352,Straight,Left,Close,Close,Far,Right
353,Straight,Left,Far,Far,Close,Left
354,Straight,Left,Close,Far,Far,Right
355,Straight,Left,Far,Not Detected,Close,Left
356,Straight,Left,Close,Not Detected,Far,Right
357,Straight,Front,Far,Close,Close,Left
358,Straight,Front,Close,Close,Far,Right
359,Straight,Front,Far,Far,Close,Left
360,Straight,Front,Close,Far,Far,Right
361,Straight,Front,Far,Not Detected,Close,Left
362,Straight,Front,Close,Not Detected,Far,Right
363,Straight,Right,Far,Close,Close,Left
364,Straight,Right,Close,Close,Far,Right
365,Straight,Right,Far,Far,Close,Left
366,Straight,Right,Close,Far,Far,Right
367,Straight,Right,Far,Not Detected,Close,Left
368,Straight,Right,Close,Not Detected,Far,Right
369,Straight,Left,Not Detected,Close,Close,Left
370,Straight,Left,Close,Close,Not Detected,Right
371,Straight,Left,Not Detected,Far,Close,Left
372,Straight,Left,Close,Far,Not Detected,Right
373,Straight,Left,Not Detected,Not Detected,Close,Left
374,Straight,Left,Close,Not Detected,Not Detected,Right
375,Straight,Front,Not Detected,Close,Close,Left
376,Straight,Front,Close,Close,Not Detected,Right
377,Straight,Front,Not Detected,Far,Close,Left
378,Straight,Front,Close,Far,Not Detected,Right
379,Straight,Front,Not Detected,Not Detected,Close,Left
